ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Name:
0x2318,COIMBRES13DEL01,NaN,NaN,11.003669,76.976494,11.043669,77.016494,30-03-2022,NaN,15:05,NaN,NaN,3,Drinks,electric_scooter,1.000000,No,Metropolitian,object
0x3474,BANGRES15DEL01,28.000000,4.600000,12.975377,77.696664,13.085377,77.806664,29-03-2022,20:30,20:35,Windy,Jam,0,Snack,motorcycle,1.000000,No,Metropolitian,object
0x9420,JAPRES09DEL03,23.000000,4.500000,26.911378,75.789034,27.001378,75.879034,10-03-2022,19:35,19:45,Stormy,Jam,0,Drinks,motorcycle,1.000000,No,Metropolitian,object
0x72ee,JAPRES07DEL03,21.000000,4.800000,26.766536,75.837333,26.856536,75.927333,02-04-2022,17:15,17:20,Fog,Medium,1,Meal,scooter,1.000000,No,Metropolitian,object
0xa759,CHENRES19DEL01,31.000000,4.600000,12.986047,80.218114,13.096047,80.328114,27-03-2022,18:25,18:40,Sunny,Medium,2,Drinks,scooter,1.000000,No,Metropolitian,object
0xc4af,GOARES04DEL01,26.000000,4.700000,15.569600,73.742294,15.579600,73.752294,15-02-2022,9:45,9:55,Fog,Low,0,Drinks,motorcycle,1.000000,No,Metropolitian,object
0x3b9d,BANGRES19DEL02,23.000000,4.800000,12.914264,77.678400,12.934264,77.698400,01-04-2022,9:60,10:05,Windy,Low,2,Buffet,scooter,0.000000,No,Urban,object
0xdd42,KOLRES06DEL02,26.000000,4.800000,22.533662,88.366217,22.583662,88.416217,13-02-2022,17:60,18:05,Windy,Medium,0,Meal,motorcycle,1.000000,No,Metropolitian,object
0x872b,MYSRES05DEL03,35.000000,4.900000,12.323978,76.627961,12.413978,76.717961,02-03-2022,21:30,21:45,Cloudy,Jam,2,Snack,scooter,1.000000,No,Metropolitian,object
0x6001,HYDRES04DEL03,23.000000,4.900000,17.411028,78.329645,17.441028,78.359645,05-04-2022,20:45,20:55,Fog,Jam,1,Meal,motorcycle,0.000000,No,Metropolitian,object
0xd845,KOCRES09DEL01,24.000000,4.800000,10.000706,76.349516,10.040706,76.389516,17-02-2022,14:35,14:40,Stormy,High,2,Snack,motorcycle,1.000000,No,Metropolitian,object
0x4946,VADRES04DEL01,22.00,4.60,0.00,0.00,0.11,0.11,08-03-2022,23:40,23:50,Windy,Low,1,Drinks,scooter,NaN,No,Urban,object
0x4598,RANCHIRES14DEL03,35.00,4.80,0.00,0.00,0.06,0.06,01-04-2022,22:15,22:25,Sunny,Low,2,Snack,scooter,0.00,No,Metropolitian,object
0xbd51,BANGRES11DEL01,33.000000,4.800000,12.934365,77.616155,13.044365,77.726155,16-03-2022,23:40,23:55,Windy,Low,2,Drinks,electric_scooter,0.000000,No,Urban,object
0x73ec,RANCHIRES010DEL03,36.000000,4.600000,23.354422,85.332900,23.414422,85.392900,17-03-2022,21:30,21:40,Fog,Jam,1,Meal,scooter,0.000000,No,Metropolitian,object
